SECTION,LINK
3.5.2 Cooling loads ,c&p_core_widget_1.html
"<a class=""titulo-h2 anchor-bum color-luminati-3"" name=""item4-2"">4.2 Server Rack Layout</a>",https://github.com/teleworxllc/NaaSRunBook/tree/gh-pages/Network%20Design/Templates/Rack_Management_spreadsheet.xlsx
4.4.5 Documentation,https://github.com/teleworxllc/NaaSRunBook/tree/gh-pages/Network%20Design/Templates/Network-Documentation-Template.xlsx
